ulasan;label;pool_idx
Tempat “Paling Wenak” kadang enggan pulang, tanpa wifi,  enak buat ngobrol dan tukar opini dengan pelanggan lain mungkin dari kopi dan hal lainnya. selalu mendapat teman baru. jangan takut datang sendiri karena #AboutSomethingSayangKamu. dan satu lag;positive;118
Cantik, enak, seger;positive;105
Sedikit pricey, wifi cepat, cocok buat mahasiswa skripsian;positive;300
Cafe andalan sePalangka Raya, suka banget nyantai disini. Kopi sekut banget favorit ku karena lebih creamy dan sedikit lebih manis, nasi ayam teriyaki favorit nya anak-anak. Risoles juga enak, isian nya full.   Yang varian chocolate juga …;positive;137
Tempat nya bersih dan pelayanan nya ramah;positive;269
Tempatnya luas.. ada pilihan indoor dan outdoor.. suasananya santai tapi ttp asik. Menu makanannya terlalu DABEST sih di sini. Gak bisa berword-word lagi karena porsinya yang big size, rasanya yang super rekomended, dan harganya sangat …;positive;379
Menu favorit saya di warung ini adalah gudeq ayamnya, tempatnya bersih, vintage, namun agak sempit dan satu hal lagi harganya menurut aq lumayan mahal...;positive;341
Tmptnya nyamn, kopinya enak;positive;239
Enaaak makanannya. Pecelnya cocok. Kuenya jugaaa happy. Hanya tempat duduk di bakery nya ada yang agak rapuh. Selebihnya menyenangkan dan baik sekali;positive;26
Tmpt nya enak. Kids friendly, parkiran luas , staf nya ramah , pesen spagetti  spicy beef .. isian beef dan smokeed beef nya banyak . Worth it dgn harga 45k . Well done;positive;22
Incredible, love it;positive;132
Tempatnya adem kalau siang siang bolong, dan cafe pertama kali yg aku pesan menu semua ada churros and waffle #like;positive;14
Space masih kurang luas, termasuk tempat parkir R4;negative;312
Setelah sebelumnya kecewa dengan es kopi susu lain di Palangkaraya, akhirnya mencoba pesan di sini. Alhamdulillah, es kopi susunya enak, pas rasanya.;positive;287
Tempatnya luas, cocok banget untuk nongkrong/kerja/nugas disini. Kopi dan makanannya enaaak;positive;106
Makanan di Maju Makmur nyaman banar. Saya suka salted eggnya. Rekomend boy;positive;351
Coffee nya enak agak creamy, sayang nya es batu lebih banyak daripada coffee. Cireng nya juga enak. Kemarin take away karena coffee shop nya ramai sekali di jam makan siang. Harga nya terjangkau. Pelayanan ramah.;positive;222
Mantap tampat nya,,,nyaman suasana dan pelayanan ya;positive;12
Rasa ok;positive;190
tempatnya banyak nyamuk.;negative;315
Coffee shop nya cozy, cocok untuk hang out sama teman-teman. Untuk minuman nya banyak pilihan, mulai dari kopi hingga cooktail. Ini salah satunya yang jadi best seller, Singnature White Hazel-Choco Latte. …;positive;49
Serving time baik, tapi saat menyajikan waiter gemeteran hingga minuman saya tumpah. Banyak serangga kecil beterbangan bahkan hinggap di makanan minuman, sangat mengganggu! Makanan dan minuman cukup pricy untuk tempat yang mengedepankan konsep venue.;positive;215
so far cukup comfy si walau masih under construction. pengen ke sini karena kepo banget sama bakmie n pisang goreng caramelnya, when i tried it, it tasted good as i expected 🤤 utk yg muslim jg adanya mushalla merupakan nilai ++ bgt biar memudahkan yg;positive;344
nunggu makanan dari jam 5 - 7 malam ga datang datang, ternyata sistemnya bermalasah, dan tidak dikonfirmasi!;negative;228
"Tempat nya enak, tapi yang melayani nya ga enak, penjual seperti tidak butuh pembeli.
Mana ga sopan barista cewe ke barista cowo, masa ngasih barang dilempar sampe jatuh, hedehh🥲 …";negative;371
Tempatnya enak buat ngobrol, menu toastnya juga enak. Parkirannya luas, tapi pas kesana, musik di dalam ruangan terlalu keras.;neutral;38
Makanan nya enak, suasana nya tenang dan pelayanan nya cepat.;positive;143
Makanan nya enak;positive;240
Tidak disarankan untuk yang pertama kali tiba. Pelanggan tidak melayani dengan baik. Dan pemiliknya sangat tidak pantas.;negative;53
Cukup nyaman di ruangan indoornya;positive;54
Yomi rame jadi agak panas kalo kipasnya mati. Tapi untuk minumannya enak-enak dan suka semuanya terus bisa pake bubble juga. untuk snacknya walaupun murah tapi porsinya bisa buat sharing dan enak juga sih hihihi. Akses internet lewat WiFi …;positive;181
Pelayanan memuaskan .. makanan n minumanya recommend..;positive;238
Menu beragam, harga masih masuk kantong mahasiswa;positive;159
Ini cafe terbaik sih dari segi menu dan pelayanan, kalau kesini wajib cobain menu coffe keganangan banar sama ayam betutunya sumpah ini menu terbaik, kalau mau yang noncoffe lecy tea jadii, snack nya masih hangett, nah agak kurang di tempat …;positive;374
Kecewa karena jauh 80km mau coba 2 menu dinsum nya ga dikasih dg alasan dibatasi😑 Kalo mau coba kan wajar, bukan borong …;negative;6
Karna tempatnya hening dan simple;neutral;109
Perpaduan kopi dan susunya pas,  snacknya enak,  tempatnya bagus,  nyaman dan bersih😊 …;positive;262
Tempat sih okee tapi layanan di tingkatin dong...perasaan nda terlalu rame pesenan juga ga ribet masak nunggu sampe 30 menit, udah gitu mbaknya jutek lagi;negative;23
Cepet banget bikinin orderannya, rasa makanan juga ok;positive;227
Rasa kopi nya sangat kental dan Awet di mulut;positive;362
Good barista;positive;94
Tempat rileks, minuman cukup ok;positive;125
CG03 Ok.;neutral;317
Menu banyak varian, rasa masakan mantap, ruangan cukup rapi & bersih, pelayanan baik & tidak harus menunggu lama.;positive;355
Ownernya ramah,ganteng, dan baik hatiii;positive;310
Pilihan menu makan dan minumnya banyak, tempatnya cozy buat nongkrong dan kakak- kakak yang melayani sangat ramah. Untuk harga terjangkau kantong pelajar.;positive;93
Barista nya ramah mudah bergaul selalu meberi pelayanan baik dan murah  senyum, makanan dan minuman nya enak2 dan beans yg dijual di mm juga enak2 🙌🏻 …;positive;247
kopi espresso kesukaan saya, harga terjangkau;positive;237
Feel sick because of uncooked egg.;negative;112
"Kami sekeluarga pelanggan Warung Garasi,
Ini restorant Javanesse Food dengan cita rasa asli khas JawaTengah.
Kami suka Garang-Asem, Gudeg Yogya Kompleet, Ayam Kampung & Bebek Goreng Bakar, …";positive;296
tmpt nongkrong skalian mangkal grab;neutral;223
Minumannya enak2, di tambah dengan pelayanan barsitanya yg baik dan ramah;positive;100
Hot plate nya enakkk dan murah. Cm untuk minuman nya kurang bgt rasanya;neutral;236
Tempat nya nyaman 👌👌 …;positive;171
Seminggu sekali bisa mampir kemari tuk beli Ayam Bumbu Rempah dan Kopi Nanika bersama Keluarga.;positive;282
Pelit listrik;negative;382
Sedang lambatnya;negative;150
"Semua oke👍 pake bngeett❣️
Makanan minumannya sedap dan segar.. next dtng lg dech …";positive;81
Mohon tukang parkirnya bisa lebih tertib lg.;negative;249
"Minuman cepat disajikan, makanan nya lama sekali..
Indoor nya ruangan ac tp tetap panas padahal ac nya ada 3";neutral;323
Rekomended, tmpatnya nyaman buat nongkrong, bsa sambil ngerjain tugas;positive;350
tempatnyaa enakk! suasana rumah nenek bgt, makanan sama minumannya juga mantul, comfy bgt deh buat ngumpul² nongkrong sama temen🌷 …;positive;8
cakep ya barista nya😃 …;neutral;25
Saya kira Dubstep 😂 …;neutral;211
Nganter makanan nya ga ikhlas muka nya cemberut. Nganter minum langsung dari tangan tanpa nampan;negative;195
overpriced beverages without any special taste or place;negative;246
Makanan sama minumannya the best, apalagi chicken salted egg dan beef teriyakinya 👍👍👍 …;positive;387
Saya sangat menyukainya......;positive;73
"Ada rambut di makanannya
Terus mba kasir dan mas kasirnya ketawa2 krna teman saya duduk di kursi dan kursinya patah, kita tau kita salah tapi ga seharusnya diketawain hehe ga sopan
Trims";negative;318
Mengajarkan kepada anak mengopi sejak dini;neutral;39
Pewee;neutral;98
Tambaheee lagee...;neutral;363
padat;neutral;391
Abangnya ganteng ganteng!;neutral;29
chocolate nya enak, sosis dan nuget nya mantap kombinasi yang sedap. ditambah lagi dengan tempat yang estetik buat nongki sehabis kerja, rekomended banget pokoknya. …;positive;299
Mango ricenya enak, terus kopinya juga sesuai sama selera aku;positive;267
Sangat Recomended;positive;311
Tempatnya cozy;positive;396
Hanya pesan 2 kopi susu tapi sangat lama;negative;225
"Sebagai pengalaman
Saya beserta istri dengan 2 anak tiba di tempat dan sudah pesan makanan, indoor penuh terpaksa di outdoor ada banyak  tempat dgn 1 meja 2 kursi....mikirnya ngga …";neutral;170
Cafe ini menyajikan porsi yg besar, that's great! Paling mudah diingat kalau cari porsi yang banyak ya Oregano the answer. Aku pesan es teh, lalapan dan rujak dan semua nya disajikan dalam porsi yg besar. Lalapan nya enak karna sambal nya …;positive;328
antar anak nemuin cs nya... anak muda banget ni tempat jadi sendirian om omnya 😁😁. rame bingit #nasasampit …;neutral;291
Americano cocok di lidah saya. Proses take away pun cepat. Bisa bayar pake QRIS. Mungkin next time coba dine in.;positive;129
Kopi susu gula arennya enakkk 😊😊 …;positive;130
Good foods and drinks, comfort;positive;370
Memang pas dgn slogan dikala Rindu;neutral;337
Lumayan;neutral;209
makanan & minuman nya enak;positive;61
Untuk makanan oke tempat oke cman tempat sholat nya ga di bersihin itu aja si yang lain aman;positive;124
Menikmati malam minggu di sini diiringi live musik;positive;111
Aku mesan makanan take away jam 11.35 WIB dan kasirnya bilang nanti diantar pesanannya ke tempat duduk (pov : aku duduknya dekat pintu diluar dan dekat dgn kasir) dan sampe 1 jam 15 menit pesanan aku belum diantar juga …;negative;345
Aku pertama kali pas ada event suasananya bagus banget kopi juga enak kok👍. Pas aku kedua kali datang suasananya juga bagus disiang hari dan malam hari. Klo foto disiang hari aku ga sempat foto karna minum kopinya :d …;positive;385
Tempatnya bagus buat foto, kalau makanannya enak, lebih ke Snack yg ringan. Minumannya juga good. Perlu tambah variasi makanan berat. …;positive;295
"Sepertinya ini cafe tempat nongkrongnya generasi milenial. Pengunjungnya dominasi anak muda.
Lumayan rame. Kalau ga salah ini tempat eks Bebek Kalijo.";neutral;313
Lokasi nyaman, tmpat duduk luas. Bnyk pilihan menu minuman makanan. Rasa lumayan enak. Harga dibawah 20k. Tempat sangat cocok untuk nongkrong dan cerita2 bersama keluarga ataupun teman;positive;20
Senang ada alternatif pilihan tempat nongki di Pky. Rasanya enak, byk pilihan..;positive;204
Order : 1. Dr.Creme Brule Coffee nya, enak, tapi kurang nya biasa nya kalau di cafe jenis minuman ini kadang di pinggiran gelas nya di kasih semacam gula yg di bakar, …;neutral;175
tempatnya lega dan kopinya lumayan. cuma untuk disuruh ngambil dari lt.2 itu agak melelahkan;positive;235
lokasi di pinggir jalan buka sampai jam 12 malam …;neutral;366
Ruangan nya bersih nyaman;positive;63
🔸 berada di tepi jalan kinibalu dan mudah ditemukan 🔸Sepertinya diminati kalangan muda karena termasuk cafe baru 🔸Ada konsep terbuka, indoor, private, area bermain anak dan bar …;neutral;34
Pelayanan Buruk!;negative;51
Kopinya enak tapi agak manis menurutku. Masih terasa kopi dibanding manisnya. Makanannya lumayan. Tempatnya enak,;positive;386
Terima kasih sudah jadi tmpt santai q;positive;139
Coffee shop yg asyik, roastery, jual perlengkapan kedai kopi, semuanya lengkap deh;positive;272
Lumayan bagus & org2nya pun ramah;positive;146
Tempatnya adem, kopinya enak👌🏻 …;positive;352
Tempat sangat nyaman, lengkap dengan smoking area full ac;positive;319
Salah satu tempat kopi 24 jam yang nyaman kadang juga bisa ada nobar kalo pas lagi ada match besar;positive;178
Sebagai masukan untuk peningkatan.. Keramahan saya acungkan jempol Sangat ramah .. …;positive;187
1. Tempatnya luas, ada lantai 1 dan 2 2. Menu minuman dan snack lumayan banyak, tapi pasti lebih baik lagi kalau ditambah pilihan menu snacknya …;positive;43
nunggu makanan nya lama 1jam cuman untuk makan.;negative;343
Bakmi nya uenak polll 👌👌 …;positive;48
Jangan lupa coba pasta tek tek;positive;167
Uenak tenan😀ayam kampung sambak korek, hujan hujan, jos tenan …;positive;91
Cozy, dingin ac nya 3🤌 Makanannya juga enak enak …;positive;219
