pool_idx;ulasan
53;Sdh coba di jl.c.bangas, pengaringan..malam minggu full musik..musik akustik romantis bingits..makanan minuman enak semua..parkir luas dan aman ada petugas jaga..sukses terus owner ka kudit dan ka nana..
54;Sebelum disajikan ada baiknya makanan yg disajikan dicicipi dulu tadi saya pesan makanan sayurnya ternyata basi
55;Sering santai disini suasana nya nyaman dan makanan nya enak....
56;Singkong Goreng dan Tahu Gejrotnya Sedap betul. Saya suka. Kopinya juga
57;Singkong gorengnya enak loh
58;Suasana nya nyaman ,sejuk ,ac nya dingin ,pelayanan nya juga ramah
59;Sukses terus🥰 …
60;Tanpa skuy bossque.
61;Taro nya buat kecanduan Indra pengecap
62;Tempat asyik buat nongkrong sama teman. Makanan dan minumannya enak, harga terjangkau
63;"""tempat enak buat nongkrong bareng teman"""" atau keluarga"""
64;tempat fav🤍 …
65;Tempat lumayan oke buat nongkrong
66;Tempat ngopi keren di palangka
67;Tempat ngopi ternyaman, yang suasananya ga bikin orang pinggiran kek aku jadi insinyur wkwk menu2 yang selalu enak, tempat yg hangat n suasananya santai bikin yg dateng ngerasa betah n hepi buat balik lg lg n lg. sukses terus Meine Welt
68;Tempat nongkrong + ngopi
69;Tempat nya enak untuk santai ,harga terjangkau
70;Tempat nya nyaman 👌👌 …
71;Tempat nyaman... Lokasi tengah kota
72;Tempat paling enak buat nongkrong. Dijamin wejangan nya mantep bgt
73;"""Tempat santai yg nyaman,"
74;"Saran nnti klo bisa ad live akustikan musik jd biar lebih rame lg, …"""
75;"""Tempat ternyaman ..."
76;"Semuanya enak enak enak ..."""
77;Tempat ternyaman untuk berimajinasi
78;Tempat yang sederhana dan Dengan harga yang sesuai isi kantong mahasiswa
79;Tempat yg asik,, keren,, instagramable bngt,, makanannya enak,, khususnya minuman,, rekomendasi banget caramel katte,, mau ice atau hot,, keduanya enak banget,, ada hotplant chiken fillet juga dengan beberapa pilihan saus,, ada onion ring,, stik moza cryspi,, tahu gejrot,, dll. Harga worth it bngt,, gk bikin kantong kamu jebol...
80;Tempat yg bagus, kekinian
81;Tempatnya Adem..
82;Tempatnya bgus, makanany enak, paling suka minumannya pas ga kemanisan
83;Tempatnya Cozy abis
84;tempatnya cukup luas, humble, dan makanannya enak
85;Tempatnya cukup nyaman dan cocok untuk berkumpul bersama keluarga atau teman, makanannya cukup enak
86;Yuks mampir. Enak dan terjangkau 👌👌 …
87;👍👍👍👍👍 …
88;"""Notes: ini review utk cafe ny, bukan carwash ny."
89;"Cafe ny cukup nyaman di sore dan malam hari, outdoor ny sepoi2 krna dibawah pohon. Rasa makanan ny jg lumayan"""
90;"""Tarif di mintain 100rb, padahal tarif aslinya 70rb. Terus di nota tertulis """"ini komisi malam woyy"""" kok ngegasss. Lagi pula nyucinya ga bersih banget lagi. Dulu rekomendasiin orang2 utk nyuci d sini. Setelah itu kayanya ga bakal lgi deh mending di tempat yg lain aja guys."""
91;Cucok nih pencucian mobil sekaligus cafe, pelanggan bisa menunggu dengan nyaman saat mobilnya dicuci 👍
92;pesen kopi basic nya enak, non kopi karamelnya enak, cirengnya enak, pelayanan nya bagus, kebetulan datang pas weekday jadi sepi dan nyaman, banyak colokan listrik hampir disetiap tempat duduk outdoor nya
93;Tidak akan dan tidak mau nyuci mobil di sini, harganya tidak sesuai masa mobil kotor lain harganya dengan mobil tidak kotor, klo tidak kotor gpain datang ke tempat cuci
94;Cuci mobil disini, diminta 150k cuci luar sma di dalam mobil, hasilnya tidak memuaskan masih banyak lengket tanah di dalam mobil, smoga owner bisa baca komen saya🙏 …
95;"""Kalo mobil kotor jangan dibawa kesini dah apalagi malam malam😅"
96;"Tarif nya bakal gajelas dan hasilnya juga gk terlalu bersih. Semoga owner berbenah🙏🏻 …"""
97;"""Ga becus management karyawan."
98;"Tarif nego dimanfaatkan untuk ceperan, segala kondisi mpbil dianggap admin yg merangkap sbg kasir adalah kondisi kotor banget. …"""
99;"""Cuci mesin mobil dapat mencegah kerusakan mesin"""" dan """"Cuci mesin mobil dapat memperpanjang umur mesin"""". …"""
100;"""Car wash ampas.."
101;minta tambahan di luar nota krn bawahnya kotor katanya dan
102;"hasilnya pun ga bersih juga... cukup skali lah ksini"""
103;Tempatnya bagus, adem, dan juga nyaman. Minusnya harganya agak mahal kalau buat saya yang kaum mendang mending ini
104;"""hati2 yg mau cuci mobil di sini❗️"
105;lebih berhati2 kalau menaruh barang berharga/uang didalam mobil❗️
106;"baru sore ini cuci mobil disini salah satu pegawainya berani ambil uang di dalam …"""
107;tempat cuci mobil yg sekilas profesional, namun mobil habis dicuci tidak langsung di lap / di vaccum .. efeknya air yg menempel di mobil/ kaca memgering sendiri,. penyebab jamur kaca / jamur body mobil
108;Sangat memuaskan cuci mobil dan mesin bagus sekali.
109;estimasi pesanan tidak sesuai, katanya cuman 15 menit taunya hampir 1 jam, dari belum hujan sampai hujan, sampai reda sampai hujan lagi, yg selesai duluan malah orderan driver lain yg baru datang
110;Sorry banget kasih bintang satu soalnya pelayan nya kuranggg gerceppp,hampir satu jam setengah nunggu makanan ga diantar antar!!!!!!!!alasanya barista nya lupa lahhh
111;Tara coffe, pertama kali saya mencoba rasa kopi nya pas ditambah dengan tempat yang bagus dan kebersihan selalu terjaga. …
112;"""Nyuci mobil sambil nongki di G. Obos"
113;"Mantuullll"""
114;Cozy place, harga terjangkau, tempat strategis dipinggir jalan utama. Yg kere gak perlu khawatir miskin kalo nongkrong disini. Yg jomblo gak usah takut sendiri ke sini, banyak cowo/cewe keren nongkrong disini. …
115;cuci mobil disini sudah dipesenin jangan dibuang minuman di dalam mobil malah dibuang,gak ngaku lagi kalau gak ditanya.
116;Recomend nih untuk santai sambil nunggu mobil selesai dicuci😜 …
117;Tempat yg nyaman untuk nongkrong sambil ngopi santai, kopi nya enak pelayanannya ramah, good deh taracoffee.id👍👍 …
118;Tempatnya yg rada luas outdoor, pastiin kalau mampir cuaca bersahabat.
119;Kopinya enak..semoga tempat parkirnya dioerluas..jalan masuknya pun becek🙏 …
120;Cafe nya Asik, menu nya enak bgt, pokoknya suasananya nyaman untuk bersantai ria.
121;Makanan dan minumannya enak enak
122;Mantapp..
123;keceee! comfort and enjoyable bgt tempat ny💘 …
124;Cuci mobil sambil ngopi
125;Mantap banget kopinya disini🥰 …
126;Bersih dan nyaman utk nongkrong
127;Terbaik sepajang masa
128;Tempat minum coffee yng nikmat
129;Suasana nyaman
130;Keren & mantul 👍👍 …
131;😍😍😍😍😍😍😍 …
132;Ketiga kalinya saya berada di sini, kopi favorit saya adalah cappucino mereka.
133;Minumannya enak, gedungnya bagus
134;Tempat yang bagus
135;Salah satu yang terbaik👌 …
136;Cofee ny enak dan bergizi
137;Tempatnya oke
138;Aman dan nyaman
139;Tempatnya enak, kopinya enak
140;Tempatnya nyaman....
141;Kopi nya sip 😋 …
142;Terbaik lah
143;👍👍 …
144;Unik
145;Layout ruangan bagus
146;😎😎😎 …
147;Mantapppp
148;Lumayan representatif...
149;Rekomended untuk Hangout
150;Sip
151;Kafe santai
152;Tadi malam saya dan suami pergi ke tempat ini. Kesan saya, ini tempat yang enak dan nyaman untuk bersantai dan ngobrol bersama keluarga dan teman. Karena tidak lapar, kami memesan Mix Snack Platter dan Non Coffee Artisan Milk (Gen Matcha & …
153;Tempat yang bagus, kopi yang enak, dan staf yang baik. Tempat yang bagus untuk hangout dan bekerja. Pergi untuk mencoba!
154;Tempat yang bagus!
155;Tempat minum, berkumpul, ngobrol, & bertemu.
156;Tempat nongkrong yang bersih, tenang, enak dan nyaman. Menu mereka enak. Favorit saya adalah es coklat mint dan nacho.
157;Tidak disarankan untuk yang pertama kali tiba. Pelanggan tidak melayani dengan baik. Dan pemiliknya sangat tidak pantas.
158;tempat yang nyaman, suasana luar biasa, staf yang ramah
159;Tempatnya nyaman, kopinya enak, tehnya enak, makanannya enak
160;Merasa nyaman
161;Cocok buat nongkrong guys
162;Tempat yang bagus ...
163;ssst
164;Kerja bagus
165;Kopi enak, tempat nyaman
166;Sebagian besar direkomendasikan.
167;Selamat menikmati
168;Sangat nyaman
169;"""Bagian resevasinya misscom sama kasir"
170;"Pdahal sudah kasih deposit sebelumnya …"""
171;Makanan dan minuman enak semua, tempatnya ok dan nyaman untuk bersantai....
172;"""Lumayaan! Atmosfer nya sih enak"
173;"Makanannya aku pesen ada ikan pindang dan turns out enak. …"""
174;Semakin malam, semakin ramai itu ciri dari Kala Rindu. Mereka buka 24jam, mungkin itu sebab kalau malam hari, ramai pengunjung. Cafe Kala cocok untuk bertemu sama teman, ataupun reunian. Kesan asik dan seru terasa. Makanan dan Minuman enak, sesuai dengan harganya.
175;Cafe yang gak pernah sepi pengunjung dari malam senin sampe malem senin lagi. Selalu full, kalo telat udah ga dapet tempat duduk. Enak buat ngumpul sma teman ataupun keluarga. Menunyang disuguhkan juga enak, kecuali snack onion ring nya ya …
176;Kala Rindu Coffee terletak di Jl. Diponegoro No.11, Pahandut Seberang, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874. …
177;tempatnya enak, pesan spaghetti aglio olionya enak eh, lemon tea nya juga pas rasanya.. …
178;One of the most comfortable cafes in town! The food and drinks are super affordable with big portions for one person or many people. What I really love is the Fried Chicken with Lemongrass. It tastes so yummy! Love the Iced Matcha Green Tea as well. Recommended!
179;Tempatnya keren dan makanan serta minumannya juara sih ,,, apalagi ayam betutunya enak dan sedikit manis bagi aku ,,, terus ada makanan signature mereka juga ,,, bisa indoor maupun outdoor ,,
180;cafe bagus, menu makanan dan minuman boleh la sesuai dengan standar lidah masyarakat^^. harga lumayan ramah di dompet untuk semua kalangan ° - °
181;"""Rekomen tempat buat ngopi santai"
182;"Tapi siap-siap ngantri, tp antri nya cepet kok, …"""
183;Ice coffee kaganangan nya enak bikin ketagihan. Cemilan sama makanan beratnya juga enak. Recommended ya buat nongki² tua maupun muda👍😊 …
184;"""Untuk rasa, enak"
185;"Tapi mungkin kena apesnya lama lama lama lama lama lama banget makanannya sampai ke meja. …"""
186;Tempatnya lumayan nyaman, kopi susu nya enak, waiternya juga ramah.. rekomentded
187;Kopinya enak. Pemandangannya suegerrr. Bnyak cewe cantik
188;Cafe yang buka 24 jam. Makanan dan minumannya enak semua. Pelayanannya juga ramah banget kakak²nya.
189;tempat nyaman layanan oke karena begitu selesai langsung dibersihkan untuk pelanggan selanjutnya
190;Ingin memesan bersama pasangan disini, room 3atas, jackpot
191;Tempat nyaman, bisa juga untuk keluarga, ada smoking area, makanan dan jajanannya enak..👍🏻👍🏻 …
192;Was there for a quick meeting, fast serving, good beverages, average foods, have a spacious smoking area.
193;Nice place, nice service, snacks is great. Rice bowl not so good, for me not tasty enough
194;Tempat nongkrong 24 jam terbaik di Palangka Raya
195;Tempat nongki tiap malam kamis karena ada live musicnya. Minuman- cemilannya juga enak dan harganya standar. Okelah.
196;Kafe ini beralamat di jl. Diponegoro Palangka Raya, tempatnya ramai dan asyik buat nongkrong bersama teman-teman.
197;Passs manis kopi coklat nya. Roti ny angett gurihhh . Top pastinya
198;Banyak promo, barangnya bagus2.. mantab
199;Tambah varian menu lagi biar makin oke kala rindu
200;Makanan enak harga sedang sekelas cafe, layanan biasa, suasana terlalu ramai jadi tempat kadang penuh, kalau mau pesan makan pas lagi penuh kadang ragu karena meja yg pendek² dimuka itu tidak memadai untuk menaruh piring gede
201;Tolonglaahh kopi peppermintnya enak banget woiii busettt
202;Barista cukup ramah. Harga terjangkau dan kualitas kopi enak.
203;"""As a local, i think this place is the finest coffeeshop in the town. Its quite difficult to find café that open for 24 hours which is same as their slogan """"no last call"""", well it really is! For the food i think it's 5/5, with only for …"""
204;"""Tempat ngopi 24 jam bagi pencinta kopi di palangka raya..."
205;"Tempat yg sangat2 sip dan rame pengunjung.. 👍👍👍 …"""
206;"""pelayanannya di mid night sangat kurang,"
207;"saya mau pesan makanan, ternyata belum ready and then di suruh nunggu 20 menit. …"""
208;"""Mohon diperhatikan Chicken wings nya beraroma tidak segar..😢"
209;"Layak atau tidak layak disajikan kepelangkan🙏🏻 …"""
210;Kecewa dengan pelayanan kasir penerima order pesanan yang tidak profesional. Ada salah satu pesanan kami yang tidak dicatat, padahal sy pikir sudah dicatat. Setelah saya tunggu lama (karena saya pikir masih dimasak) ternyata baru tau kalau pesanan kami tidak dicatat...parah
211;"""Makanan sama minuman masih banyak, main dibuang buang aja, baru ditinggal bentar ke toilet, payah, lain kali bikin papan tulisannya """"JANGAN DIBUANG MASIH DIMAKAN"""""""
212;"""Sepertinya ini cafe tempat nongkrongnya generasi milenial. Pengunjungnya dominasi anak muda."
213;"Lumayan rame. Kalau ga salah ini tempat eks Bebek Kalijo."""
214;"""Kasir sangat lama. Butuh 2 kasir buat mengantisipasi antrian."
215;Untuk minuman? So so lah untuk harga segitu. Dibilang enak yaa engga, dibilang gaenak juga engga.
216;"Untuk tempat, sangat cocok buat nongkronh sama teman."""
217;"""Tempatnya cozy,minumannya juga oke..sering penuh,jadi sedih banget kalo gak kebagian tempat ☹️"
218;"Kata temen2 bukanya 24 jam,tp belum sempet nanya sma pegawainya bener atau gak..kalo bener sih mantap lah,jadi bisa order kopi pas lagi lembur 👍"""
219;Lokasi strategis tempat nyaman pelayanan ramah banyak menu pilihan makanan minuman rasa berkelas dan pemiliknya ganteng sangat rendah hati. Sukses Selalu Kala Rindu
220;Terjangkau u anak kuliahan & pricelist, tempatnya nyaman buat kongkow, Indoor & outdoor suasana teman, 24 jam open...Makin malam makin Bnyk anak muda Palangkaraya berdatangan...
221;Kopi susunya enak👍🏻 …
222;Minumannya enak , harga juga bersahabat , mantap !
223;"""Sangat pas untuk Nongki, tapi terlalu ramai sehingga untuk privasi agak kurang."
224;"Kalau mau privasi room harus jd membee dulu."""
225;Tempat yg nyaman buat nongkrong sampe berjam”, minuman nya juga enak, ditambah lagi harga nya yg masih terjangkau buat kantong nya mahasiswa :)) highly recommended
226;Kopinya enak, tempatnya asik buat nongkrong
227;Banyak bgt momen dan kenangan disini :)
228;Tempat ngechill yang buka 24 jam di Kota Palangka Raya, dengan Kopi Kaganangannya yang nyaman di perut, serta, tempat nya ramai dan cocok untuk ngobrol2 karena di sediakan tempat indoor dan outdoor.
229;crowded, cheap price, spacious parking
230;nunggu makanan dari jam 5 - 7 malam ga datang datang, ternyata sistemnya bermalasah, dan tidak dikonfirmasi!
231;Cocok banget buat nongkrong
232;mantap sekali.
233;Asik dan nyaman.. Padahal cimpetitor ada bersebelahan, tapi bisa bersaing
234;Makanan dan minumannya termasuk oke untuk Coffee shop, suasana indoor dan outdoor, dan tempatnya mudah ditemuin karena emang pinggir jalan gitu
235;One of the coolest place to spend ur night with a glass of coffee❤
236;tempatnya nyaman, mniman sama snacknya enak..tapi pelayanannya kurang fokus dan ga terlalu ramah. stidaknya playanannya ditingkatin lebiih lagi.
237;"""Sebagai penyuka es kopi susu, di Palangkaraya pengen dong nyobain juga."
238;"Akhirnya pesan es kopi susu di sini via GoFood. Pas diminum, es kopi susunya terasa banget memakai kental manis, bukan susu UHT/pasteurisasi/susu murni. …"""
239;Sangat mengecewakan pelayanan kurang ramah.
240;Lumayan bagus untuk ruangan vip
241;Enak buat nongkrong, makanannya cocok dilidah, terutama roti croissant nya, mantappp
242;Tempatnya strategis untuk nongkrong sambil ngopi, sayangnya varian minumannya agak terbatas.,
243;"""Banyak varian minuman kopi yg di sajikan..  Tempatnya enak buat diskusi ataupun hanya sekedar nongkrong.."
244;"Menu makanan juga tersedia..  Dan lumayan enak.."""
245;Nastelnya enak, suka banget pokoknya
246;Café coffee 24 hours service on Palangka raya
247;pelayanan dan tempatnya bagus, cafe nya rame. enak juga makanan dan minumannya
248;Anak anak suka disini terutama makanan nya
249;"""Tempat yg nyaman dan enak untuk nongkrong dan bersantai. Sukses terus."
250;"Tapi syangnya wifi tdk ada."""
251;The price is so friendly, the only downside is the places always crowded and the indoor seat not so many
252;Tempatnya enak dingin
253;Semua makanann dan minumannya enak bgt. Fav aku mocktail yg black magic🤤🤤🤤 …
254;"""Es Kopi Susu Rum paling juara 🔥"
255;"Update feb 2022, harga ada sedikit kenaikan namun rasa malah berkurang …"""
256;Tempat nyaman buat santai, pilihan makanan jg cukup banyak
257;Cepet banget bikinin orderannya, rasa makanan juga ok
258;Salah satu tempat ngopi favorit sebelum ke kantor. 👍🏻 …
259;Kopi shop joss buka 24jam gabut tengah malam ke sini aja pelayanan nya juga bagus
260;"""Baristanya kaya Chicho jericho, dabest mas Ilham kumis"
261;"Eko tolong dijaga jangan sampai hayal lirik cekew teru …"""
262;Kopinya enak tapi agak manis menurutku. Masih terasa kopi dibanding manisnya. Makanannya lumayan. Tempatnya enak,
263;Pecinta kopi wajib coba kesini. Selain kopinya letaknya cocok buat santai di pertengahan kota
264;Tempat ngopi yang recomended di Kota Palangka Raya
265;Tempat nongkrong asik. Menu2 jenis kopi susu dengan varian rasa.
266;"""Kopi nya enak, rekomendasi yg caramel machiato"
267;"Tempat nyaman, harga affordable"""
268;Tempat nya bagus dan sejuk
269;"""suka dg vibesnyaa.. lokasi di jantung ibukotaa.."
270;"harga murce ajaaa.. …"""
271;sangat memuaskan dan sangat keren🥰 …
272;Asyik banget jadi tempat santai maupun tempat kerja
273;"""Ikan nila goreng blm masak dalam nya..."
274;"Alhamdulillah"""
275;Catchy places to hangout, there's indoor and outdoor seating. The beverage and the food are all tasty.
276;Need more beans for manual brew, but signatur beans is preety good.
277;Sebenar nya saya belum pernah kesini tapi karena saya pecinta kopi jadi saya kasih bintang lima
278;Langganan keganangan banar lawan padan
279;mantap sih ini kafenya suasananya dapet, menu nya dapet, keren 👌👌 …
280;Tempat bersih & selalu ramai dikunjungi kawula muda
281;Salah satu tempat santai hingga larut malam masih buka
282;Tempatnya bagus dan menu nya cukup variatif
283;Tempat yang bagus dan luas,,, pas Nongkrong sama doi
284;kafe terbaik di pky memang 👍 …
285;Kopi enak dengan harga ramah kantong. Cocok untuk nongkrong.
286;Memang pas dgn slogan dikala Rindu
287;cukup nyaman buat kongkow maupun workspace
288;Ternyamannnn dan semua makanannya enaakkk
289;Comfy place and really great hospitality
290;Cozy Places to hangout ☺️👍🏼🎉 …
291;Sesuai nama tempatnya kala rindu,bisa bikin rindu
292;New coffee shop, let's try
293;Kopi suasana pelayanan oke🤟 …
294;Cocok buat ngopi santai
295;Asyik  banget tempatnya
296;Cozy place to hang out and drinks coffee with friends
297;Tempat nongki kaum urban
298;Oke bgt
299;Seperti coffeshop pada umumnya
300;keren sii
301;Karna tempatnya hening dan simple
302;Tempatnyaa nyaman asik
303;Perfect in every detail
304;Tempat favorit nongki2
305;Nice place
306;best
307;Dingin. Nyaman
308;"""Menu variatif."
309;Makanannya enak² dan porsinya porsi kenyang maksimal.
310;"Pelayanan ramah dan cepat."""
311;selalu menyenangkan saat menemukan tempat ngopi yang menyediakan ruangan indoor maupun outdoor yang memisahkan perokok dan tidak merokok, terlebih bila ada kursi makan bayi yang akan memudahkan orang tua mengajak anak-anak nya untuk menemaninya ngopi..
312;"""Kuenya enak enak semua, makanannya lumayan"
313;"Suasanya juga oke dan tiap pagi ada promo morning coffee 10k jam 8-10 pagi"""
314;"""Tempatnya adem, minuman dan makanannya enak👌🏻"
315;"Tiap hari ada cake/pastry yg fresh, suka bgt🍰 …"""
316;"""Tepat waktu kopi, tempat yang enak buat bersantai. Lokasi nya sangat strategis."
317;"Nongkrong di dunia dapet, ibadah tetap jalan."""
318;Tempat yang nyaman dan kopi yang mantul
319;kopi sundul paling enakkkk sepalangkaa🥹❤️ …
320;Minuman enak dan terjangkau, pembayaran bisa cash/atm/gopay. Enak buat ngobrol santai, tpi agak panas didalem klo harinya panas. Recommended menu : sweger
321;Saat hari sangat panas tempat ini menjadi tempat favorit buat minum es kopi.
322;kopinya Enak dan tempatnya nyaman ♥️
323;Suka banget sama kopi nya...pelayanan nya juga memuaskan lah...☺️
324;Tempat terbaik untuk nongkrong, all crewnya welcome banget.
325;Ayo Ngopi dan santai di Kedai DS lengkap dengan Menu Rotbak,black burger dan Juice
326;Enak kopsus'nya...
327;Tempat asik untuk tepat waktu ngopi😎🤩 …
328;Enak, sundulnya sangat menyundul rasa, tempatnya juga bagus, ada wifi yg lumayan kenceng, AC + kipas yg membuat hawanya makin chill, friendly employees juga, selalu ada terobosan rasa baru walau kadang aneh tapi bagus, salah satu minuman yang enak selain sundul itu ada regal dan summer sweet (non coffee), WCnya juga enak, bau kopi, oh you guys must try the Croissant
329;Salah satu tempat ngopi yang enak di Palangkaraya, tersedia kopi Single origin dan beberapa menu kopi lainnya.  Buat yang nggak bisa minum kopi tersedia juga aneka frape yang bisa kalian coba salah satunya Matcha ini enak banget Lo 😊 recommended banget lah …
330;Suka banget sama music playlist nya ❤️
331;"""Kopi sundul best seller ⭐⭐⭐⭐⭐"
332;Pas buat nongkrong pagi, sore atau malam hari..
333;"Minusnya tempat parkir kurang luas,.."""
334;"""Kopinya  enak"
335;"Tapi buat santai sama teman"""" enak tempat nya"""
336;Suasananya enak
337;Pencinta Kopi Wajib ke sini ya,...di Kafe ini sudah menerapkan Protokol Kesehatan dengan baik
338;Aroma kopi nya enak dan suasan tmpt nya tenang pas untuk kaula muda untuk ngobrol santai
339;Suasana nyaman, banyak pilihan menu paling the best kopi sundul
340;Kopi Sundul salah satu minuman favorit buat menemani bekerja dan hari-hari anda.
341;Sundul the best
342;Muantaap kupi gedangnya. asyiiiiiiiik tongkronganya
343;Aroma kopi dan rasa kopi yg nendang
344;👍👍👍 …
345;Klasik tempat nya. Cocok buat santai dan ngumpul sama teman
346;Spesialis kopi tanpa anpas yang menggugah, tempatnya sederhana tapi kopi tak ada duanya.
347;"""Tempat nyaman dan harga affordable"
348;"Suasana nya asik"""
349;Tempat nongkrong dan ngopi yg bagus di Palangkaraya
350;Tempatnya nyaman untuk ngopi sambil bekerja.
351;Koffee nye mantap abiiisss... ramah, profesional👍👍 …
352;Tempat ok, minuman jg enak
353;Kopinya enak...tempatnya simple
354;Tepat yg baik menikmati secangkir kopi
355;Enak dan nyaman
356;yang suka pada kopi disini pas kopi nya
357;Kerennn kok mayan buat nongki
358;Rasa yg nikmat Dan suasana yg pas untuk ngopi
359;Bagus tempatnya yaman dan damai
360;Kopinya enak, non kopinya juga enak
361;Tempat yang Tepat buat ngopi santai
362;Kopi susu ny enak
363;Kopinya mantap
364;Kopi susu sundul
365;Khusus buat orang penggila kopi
366;kopi susu es mantap
367;Sundul Fav banget🖤🖤🖤 …
368;Tempat kumpul dan nongkrong yang enak
369;Tempat santai yg bagus
370;Enjoy banget tempat nya
371;Tempat kurang nyaman dan kurang luas
372;Es kopi susunya lumayan
373;Kopinyaaa enakkk
374;Kopi sundul the best coffee in town
375;Sundulnya khas bgt
376;mantapzz
377;Kopi and  roti nya enak
378;Kopi paling mantap
379;kopi sundulny terbaik
380;Saya suka
381;Mantap kopinya
382;Tempatnya asyik
383;Sungguh enak bung
384;Sundul is my Fav
385;Tempat yg teduh
386;Tempat yang nyaman untuk santy
387;Tempatnya recommended
388;👍👍 …
389;Nongkrong asyik
390;Favorit tempat kopi
391;Muanyap kopi gedang
392;Greentea nya juara .
393;Tempat nongkrong santai
394;Cocok untuk santai santai
395;Gpp
396;Begitulah
397;Kerenn,nice..
398;Sip
399;Sundul Gaes
400;"""Cukup tenang untuk sebuah kedai kopi, sedangkan di tempat lain mungkin Anda akan merasa terlalu ramai atau terlalu berisik, jadi jika Anda menginginkan tempat yang lebih santai, tempat ini adalah pilihan yang tepat."
401;"Kopinya juga enak, mereka memberi Anda beberapa pilihan yang bagus, jangan lupa untuk mencoba es kopi mereka yang lezat juga, saya suka."""
402;"""Tempat nyaman di sekitar suasana """"komplek"""" yang sejuk. Kopi pagi yang enak."""
403;Kedai kopi terbaik di kota!
404;tempat yang bagus untuk menikmati percakapan dengan teman atau orang penting Anda,
405;tempat yang bagus 👌👌🍻 …
406;Orang-orang baik, tempat yang bagus. Dekat rumah saya
407;Tempat yang bagus, kopi yang direkomendasikan
408;Tempatnya bagus, enak
409;Kedai kopi favoritku
410;Kebahagiaan
411;Yop
412;favorit
413;Kopi yang enak....
414;"""Hmmm lumayan enak minumannya. Pelayanan lumayan agak lama dikit."
