ulasan;label
Makanan dingin, lama pelayanan oke oke aja tapi butuh improvisasi;negative
Kalau mau kopi susu cobain srikandinya, enaaakk. Tapi kalau mau coba yg beda, Dawet ayu nya juga recommend, snacknya juga banyak, sekalian numpuk lemak jahat + asupan kafein, tempatnya indoor dan outdoor;positive
Sogood nasi gorang dan paduan kopinya;positive
Coffee industry, not serve manual brew.;positive
Kesini krna rekomen dri org2, ternyata emg bener seenak itu bakmie ny! 👍 …;positive
What a cozy place, love it!;positive
Great ambience, good coffee;positive
Coffee shop recommended dekat pusat kota;positive
"minumannya enak,tapi pegawainya berisik,saat ada customer beberapa karyawan sibuk push rank sehingga menimbulkan berisik jadi membuat customer terganggu
mohon dibenahi untuk attitude karyawannya 🙏🙏 …";negative
The best ever 🤩 …;positive
Kalau bisa 24 jam wkw;neutral
Seminggu sekali bisa mampir kemari tuk beli Ayam Bumbu Rempah dan Kopi Nanika bersama Keluarga.;positive
Layanan ramah, makanan enak dan harga standart, rekomended;positive
Tempat nya sempit dan pengap, terlalu banyak orang;negative
keren bgt kakak2 baristanya sgt bagus attitudenya, sopan, dan ga judgemental bgt 🔥 …;positive
suka tempat ini, orderan cepat, karyawan ramah, dan tempat nyaman, rekomentded ice cream, nya banyakkkkk.. cocok untuk tongkrongan anak muda, dan yg punya anak kecil ..;positive
Tempat ngopi yang asik di tengah kota Palangkaraya, antrinya panjang karena kebetulan malam minggu. Live musik bikin asik;positive
makanannya enak, dan baristanya baik;positive
Mantab;positive
Gas;positive
tempatnyaaa estetik, makanan enakkk enakk apalagi matchaanyaa, sama miee gacornyaa enak bgt!!!!;positive
Penasaran liat cafe nya sllu rame jd kmrn ksna,, pesan snck lma bgt di antr smpai minumx mau hbs 1 jm nunggu pas suami tnya lg katax nanti di antr, pas udh nunggu hmpir stngah jam blm di antr juga lg,, dan akhirx dbwa pulang snckx malah …;negative
Asik;positive
"Untuk pelayanan kasir mungkin bisa ditingkatkan lebih ramah dan informatif. Salam senyum sapa untuk pelanggan.
Semoga lebih baik";neutral
Sip pokoknya..;positive
mahal;negative
"nunggu kentang goreng nya aja sampe 1 jam, pas dateng asin banget lagi.
Keburu bete.
Ternyata beli offline atau online sama aja, lama banget.";negative
makanan dan pelayanannya oke, suasananya juga cocok buat nongkrong sama teman-teman 👍👍👍👍 …;positive
suka banget sama minumannya yang black latte;positive
Tempatnya nyaman, dekorasi jg bagus, menjelang sore pemandangan nya indah...yang suka tempat yg dgn desain yg bagus coba deh kesini;positive
Mantap;positive
"Fore selalu recommend

Saya di kaltim, ke palangkaraya juga pas ada fore. …";positive
Menunya banyak, menu makanan berat banyak dan enak. Porsi besar pula. Puas makan minum nongki disini;positive
Kalau bisa makanan atau pun untuk snacknya dijaga kualitasnya ya. Dulu beli cirengnya masih oke, trus malahan skrang malah berminyak dan sorry ga crispy. Tempe mendoannya juga berminyak pake bgt, goreng sesuatu ga juga sampe minyaknya kek …;negative
Makanannya rekomended walau agak lama gpp, pelayanannya ramah pegawainya frenly dan suasana cafenya enak sekalii. Terima kasih maju makmur❤️;positive
Good coffe.. good price.. good ambience..;positive
Selalu suka dgn kopinya, meja dan kursinya enak bgt buat ngerjain tugas, makanan jg enak, harga terjangkau kantong mahasiswa😃 …;positive
Makanan dan minuman enak. Harga affordable. Tempat nyaman✨️💫 …;positive
Coffee shop yg asyik, roastery, jual perlengkapan kedai kopi, semuanya lengkap deh;positive
Minuman sangat enak dengan variant yang beragam, dari kopi hingga non kopi. Pelayanan dari para staff lumayan ramah. Suasana bergama, bagian dalam Kita bisa santai tenang beracc, dan bagian luar bisa chil bareng teman-teman.;positive
Makanannya enak pelayanan nya baguss dan ramah🤩🤩 …;positive
Tempatnya bagus, pelayanannya agak kurang memuaskan sih, tapi cocok lah buat ngajak temen jauh dari luar kota buat coba cafe di Palangka Raya;neutral
Salah satu cafe dengan nuansa yg nyaman karna banyak tanaman disekitar cafenya, penyajian minuman juga sangat cepat, pegawainya ramah, semua makanan dan minuman enak + tempat parkir sangat luas❤️‍🔥❤️‍🔥 …;positive
Tempat yang nyaman untuk nongkrong dan kumpul bareng temen;positive
"Hmmm lumayan enak minumannya. Pelayanan lumayan agak lama dikit.

Agak gerah walau udah di AC. Banyak kok colokannya …";neutral
"🔸 5 ⭐ overall untuk cafe ini 🤩
🔸 akses masuk sangat mudah karena berada di tepi jalan protokol
🔸 parkir mudah dan dikelola petugas yg ahli …";positive
Panas;negative
Nyaman, enak buat nongkrong, ngobrol, harga terjangkau, pelayanan cepet;positive
Ada pelanggan bukannya dibikin malah suruh nunggu kelar syuting ga jelas;negative
Tempat yg rekomen banget;positive
tempanya nyaman enak buat nongkrong💪🏻 …;positive
lumayan tempatnya, bagus buat lu yg gila estetika;positive
Terbaik;positive
"Tempatnya nyaman
Free wifi
Harga standard";positive
makanan ny enak-enakk.. 😁👌 …;positive
bakaran sama katsu nya enak aja, cuma nasi nya keras dan dingin.;neutral
Enak makanan nya;positive
Kopi disini sangat enak. Racikannya passs buat aku. Istriku juga suka minum coklatnya. Bagi penikmat kopi, belum lengkap klo belum mencoba di About Something Coffee.;positive
Untuk pelayanannya sangat ramah dan baik, untuk tempat asik nongki main mobile legends , makanan dan minuman nya sangat recomended saya suka, sukses terus maju makmur kaya selalu😁 …;positive
Proses cepat tanpa lambat;positive
Dekorasi penataannya cozy & cantik. Untuk kue varian coklatnya termasuk enak sesuai harga, tp kalau yg cheesecake masih standart ada yg lebih baik. Harganya cukup mulai dari 20an/item, menengah ke atas ya kalau segini biasanya;positive
Suasana nyaman buat habiskan waktu.. dan toiletnya bersih sebagai nilai lebih👍👍👍 …;positive
Lelet;negative
Mantap kopi enak;positive
Tempat yg enak buat diskusi dan bincang ringann, love barista sweety cubby, kopienak, layananramah cuman jaga kebersihan ya putung rokok dan penggunaan plastik biar ramah lingkungan;positive
"Car wash ampas..
minta tambahan di luar nota krn bawahnya kotor katanya dan
hasilnya pun ga bersih juga... cukup skali lah ksini";positive
Ichigo my love,apalagi yg bikin kak Ayu😍 …;positive
Kopi Long Black .. joss;positive
Tempat yang menarik;positive
Tempatnya cozy bgt musiknya jga enak didengar karyawannya ramah bgt dan makanannya juga enak2 semua;positive
Tempatnya nyaman, cukup ramai juga, suka sama ice cream vanilanya enak..;positive
Sangat asyik..apa lg kalau gacor ordernya + dpt free minumnya;positive
Mantapppp pake bangetttt...Pengen balik lagi deh...;positive
"Tempat ngopi 24 jam bagi pencinta kopi di palangka raya...
Tempat yg sangat2 sip dan rame pengunjung.. 👍👍👍 …";positive
Langganan Cuci Mobil Disini;positive
udah beberapa kali kesini gak pernah kecewa sama service & makanannya, the best cafee in palangkaraya 👍🏻👍🏻👍🏻 definitely will come back again! …;positive
"kafe terbaik di palangkaraya👍
biar rating yang menjelaskan …";positive
Utk pesanan online terlalu lama menunggunya;positive
"Menunya enak
Tempatnya bersih dan nyaman";positive
Makanan dan kopi.ny enak.. Rekomendasi tempat santai terbaik...;positive
Tempatnya nyaman,  kopinya nikmat,  gk nyesal deh ngopi dsini,  pelayananya baik;positive
Americanonya enak;positive
Trust me, Arusta is one of the finest coffee shops in Palangka Raya, offering perfectly blended drinks, tasty food, and delicious pastries. I love the vibe in the evening, especially when hanging out with friends, because it’s so relaxing and enjoyab;positive
affordable price, cozy place, delicious meal;positive
Ok.;positive
minta coffee nya di kasih gula eh pas datang malah pait banget berasa ga ada gula nya, terus juga request an gula nya tadi beda beda malah rasanya nya di samain semua😞😞😞 …;neutral
cafe ternyaman buat nugas, minesnya ga ad wifi sih overall worth ith suasananya adem;positive
Makanan enak, kopinya enak, tempatnya juga nyaman buat nongki bareng besti🫠 …;positive
Espressonya enak, ruangan cukup bagus dan nyaman;positive
Pelayanan bagian kasirnya agak kasar ya judes;positive
Tolong diperhatikan utk pesanan onlinenya ,,,!!!!!;positive
sangat enak;positive
Weekend full di serbu gen Y n gen Z. Varian squashnya asem. Mu gkin pertimbangan buat beli coffee nya dan other beverage aja;positive
Setelah sebelumnya kecewa dengan es kopi susu lain di Palangkaraya, akhirnya mencoba pesan di sini. Alhamdulillah, es kopi susunya enak, pas rasanya.;positive
sambil santai cuci mobil;positive
Tempat sambal, saus dan kecapnya cuma satu didepan kita harus ambil kedepan. Tisu pun harus ambil sendiri gak disediakan di meja. Sayang banget padahal makannya oke;neutral
Cozy banget tempatnya;positive
Tempatnya baguss;positive
Ngopi enak ya di sini, selain banyak menu kopinya. Juga asik jadi tempat nongkrong.;positive
Santai...;positive
tempatnya sangat nyaman;positive
Tempat nya menarik lokasi strategis, pelayanan terbaik serta kopinya terenak di dunia tiada tara.;positive
tempatnya instagramable, nyaman, didalam ber ac dan punya ruang vip untuk rapat ( ber ac ) barista serta owner ramah, minumannya enak enak, makanannya enak semua;positive
5/5 👍 …;positive
Makanan dan minuman enak, sayang nggk ada Suasana musiknya.;positive
bakmie 🤍, jadi pengen nyoba semua varian …;positive
Enak;positive
Mie Latupnyaa juaraa bangett!!🤩🤩🍜barista ramah dan friendly serta tempatnyaa nyaman bangett🫶🏻🫶🏻 …;positive
Mantapp;positive
Tempatnya bagus, pelayanan lebih ramah ya;neutral
Sangat sangat mantabbb;positive
"Kurang suka dengan menu makanananya.
Suasana cukup bagus";neutral
Ayam teriyakinya kaya beda dengan rasa2 ayam teriyaki pada umumnya, sedikit asin, kerupuk basahnya enak, pas, gak bau , coffee caramel macchiato, di lidah aku kemanisan, coffeenya kurang berasa karena manis banget, tapi secara keseluruhan, enak semua;neutral
Enak dan nyaman,;positive
Gokil tempatnya, minuman nya jg enak2. Salah satu yg terbaik di palangka;positive
Tempatnya nyaman dan suasana outdoor cocok dgn lokasi yang sepi. Drinks juga enak, cuma sempol ayam keasinan.;neutral
Its a good place to chill;positive
Menikmati malam minggu di sini diiringi live musik;positive
Pelayanannya mantapp;positive
Tempat ny enak buat nongkrong, pemilik ny enak di bw ngbrol dan supel.. Harga ny terjangkau ..;positive
"Cozy, nyaman.. Tapi kurang ""eye catching"" Jadi kalau orang baru lewat tidak terlalu kelihatan..";positive
keren;positive
"Tempat nyaman, pelayanan sangat baik, menu bervariasi dan semua enak.
Pilihan terbaik kalau mau lunch bersama kolega";positive
Banyak spot buat foto cantik ✨🤏 …;positive
Kala Rindu ini diaaa cafe yang saya rasakan datang langsung menikmati secangkir kopi di kelilingi warga palangkaraya yang ramah ramah juga humble , serasa syahdu menikmati kopi nya …;positive
Kesini enak banget suasana nya, ga terlau rame tapi ga sepi juga, pelayanan nya bagus dan ramah, tempatnya rapi dan bersih. Diluar kalau malam lumayan bernyamuk ya, semoga ada perangkap nyamuk elektrik buat kedepannya;neutral
More snack please;positive
"The coffee is great.
The place is good but 2 dimensional there's lots of space left untouched.
Better you add snacks and food as companions for your great coffee.";positive
"Cepat buatnya... Rasa oke lah cuma buat kopinya ga terlalu strong sih tapi oke lah
Tempat good banget …";neutral
Menunya enak-enak semuanya. Harga aman di kantong. Ruangan sangat nyaman. AC adem poll. Kalau mau di outdoor juga bisa. Bagus untuk hang out, meeting ataupun untuk mengerjakan tugas pribadi, perkuliahan juga bisa.;positive
Oke;positive
Tempat ngopi mantap;positive
Nice coffee shop with satisfying service. The place is cozy to hang out or to work. Love the donuts and the macchiato 💕 definitely the best coffee place in town …;positive
enak makanannya dna buat santai;positive
"lokasi di pinggir jalan
buka sampai jam 12 malam …";positive
Suasanya indah dan enak buat bersantai bersama kekasih;positive
Comfy cozy place;positive
Serving time baik, tapi saat menyajikan waiter gemeteran hingga minuman saya tumpah. Banyak serangga kecil beterbangan bahkan hinggap di makanan minuman, sangat mengganggu! Makanan dan minuman cukup pricy untuk tempat yang mengedepankan konsep venue.;neutral
Tempat bersih dan nyaman, menu minuman menurut saya mantab lah;positive
cozy place and good taste to visit..;positive
sejauh ini,ini kopi terenak di kota palangkaraya yg pernah sy temukan;positive
"antar anak nemuin cs nya... anak muda banget ni tempat jadi sendirian om omnya 😁😁. rame bingit
#nasasampit …";positive
Tempatnya nyaman;positive
cozy place;positive
Tempat nongki yg cozy;positive
Tempat nya adem, kopi susu nya cuma 10.000 enak lagi 😭😭😭🥹🥹❤️❤️ …;positive
Tempat comfort, menu enak;positive
Pilihan snack dan makanan beratnya enak, ada sofanya juga, jadi enjoy dan tenang;positive
Overall bagus sih. Nyaman juga tempatnya. Makananya juga lumayan banyak variasinya dan harganya pun terjangkau. …;positive
Soo calm ada hidden nya juga buat yg gasuka terlalu terbuka lebih ke relax. indoor outdoor sempurna 😻 …;positive
Menu Kurang enak. Pelayanan kurang, pesen sendiri bayar sendiri ambil sendiri, harusnya waiters menghampiri customer bukan pesan sendiri lalu bayar sendiri ambil pesanan sendiri di kasir. Tlong diperbaiki;negative
Place is good one of the most instagramable places in town;positive
Parkiran tolong diperhatikan lagi, kalo gak ada lahan parkir mending pindah. Baret mobil saya  di dempet2 Ama kang parkir. Layanan cashiernya gak bersahabat banget. Tapi gpp ketolong Ama makanannya yang enak. PR banget buat Parkirnya. Sekarang kalo k;negative
fresh!;positive
Cakenya enak dan tempat cozy cuman backsound harusnya jangan terlalu kencang biar klo ngobrol enak;positive
Tempatnya luas dan bagus untuk berkumpul;positive
seems like still preparing the spot, arrange the angle and under construction, it's spacious place, wondering if there's any kids playground, would be great add on.. …;neutral
tmpt ini cocok buat org yg anti gula deh. gua pesen moccacino yang datang cappucino. tapi bagian itu gppa, yg jadi masalah rasanya gaada, apa emg ga di kasih gula? buset😭 …;neutral
👍👍👍👍 …;positive
saya mesen makanan kn tp lama banget datangnya, trs saya samperin ke kasir, kata mbakny masih bnyk pesanan jd harus nunggu padahal lgi ga begitu rame diliat2 🙂, trs setelah saya complain 5 menit kemudian makanan nya datang… itu ga lupa pesanan saya k;negative
Malam minggu selalu penuh, harga minumannya murah. Sayang parkir mobil agak susah.;neutral
Makanan dan minuman nya recomended banget, trus murah lagi. Best semua deh, gass guys klo cari tempat nongki yg hits di pky 😊 …;positive
Tempatx nyaman, cocok utk nongki2 at ngerjain tugas. Asek2 aja sihh...;positive
Lama banget masak makanan nya, hampir 2 jam baru jadi, padahal situasi ngga terlalu ramai juga;negative
lama;negative
Cafe nya,, nyaman, bersih, pelayanan ramah,, harga affordable, rekomendasi untuk nongkrong dan ngerjakan tugas kuliah mau pun kerjaan kantor di jaman WFH(Work from Home);positive
Yg kangen dgn cita rasa Yamie Panda jogja bisa merapat dimari ngicip bakmi ayam pangsit nya, rasanya 11 12 dgn Yamie Panda cmn bedanya di saos,acar timun,dan topping pelengkap. Setidaknya sdh mengobati rasa kangen dgn jajanan jogja. So far …;positive
Lokasinya jauh memang tpi menawarkan tempat yang indah..enak dipandang... Lokasi spot foto banyak... Makannanya enak... minumannya juga enak... Buat santai sma teman² atau keluarga.. ini tempat rekomended :);positive
Lumayan asyik sambil nunggu cucian mobil selesai;positive
Cukup oke, tapi di jam stgh 7 malam agak susah buat ngobrol di sini karena jarak yang sangat dekat dengan mesjid dan suara adzan yang cukup mendominasi, setelahnya baru bisa ngobrol santai lagi;neutral
"Makanan enak2
Cuman agak pricey yaaa";neutral
pesan untuk dibungkus(3 jenis menu), kondisi pas saya pesan lagi sepi. itu aja masih nunggu 1 jam tanpa kejelasan. kapok pesan disini lagi;negative
Makan siangg disinii makanannya enakk2,dan juga harganya terjangkauu dan pelayanannya jg ramah;positive
Tempat nongkrong  yang pas, lokasi mudah dijangkau, harga ramah dikantong;positive
"Comfy for chit-chat (main lobby), semi-private meeting area (indoor). Sadly, they dont serve the food/drink to your table. Theyre just shouting out your name.
Indoor: 9/10 …";positive
Tempatnya bagus instagramable, kopinya jg enak-enak. Harga standar sih, untuk makanannya sih so-so aja rasanya.;positive
enak banget tempatnya buat nongkrong sambil ngopi, makanannya juga enak dan porsinya pas. great!;positive
Kopi susu termantap;positive
"Masukan terkait ruangan:

Kopi dan makanannya cukup enak. Saya senang melihat pegawainya sangat rajin dan …";positive
Minuman enakk, tp kadang ada yg kemanisan ada yg kepahitan, makanan enak enak, smua harganya cocok di kantong krna murah murah, suasananya enak bgtt minus ac kurang dingin;positive
Siap,gak ada alasan buat jelekin tempat keren kaya meine welt,selalu jadi tempat terbaik.sehat semua buat semua crew terus semangat;positive
"ENAKKK BANGETTTT💯
baristanya humble, tempatnya nyaman dan pelayanannya terbaikk💯💯 …";positive
Tempatnya cozy banget, makanan dan minumannya juga enak. Instagramable bnget;positive
panas didalam ruangannya dan mejanya berdeby;negative
Bagus tempatnya dan enak2 juga...;positive
Pelayanan ramah 10/10, tempat nongki setiap sudut beda konsep bagus banget out of the box cobain;positive
Nyaman;positive
Kafe yang bagus;positive
🌹❤️ …;neutral
Bagus;positive
Ok;positive
Like this place. Asyik buat nongkrong dan banyak yang seger-seger apalagi kalo di bagian luar. Widihhh....ajib lah pokonya mah.;positive
Tempatnya nyaman buatt nugass ,Fruits bombnyaaa juaraaaaa;positive
Single originnya enaks2;positive
Paling suka ramenn nyaaa, mantap enak bangett guyss! wajib cobainnnnn 🤩🤩🤩 …;positive
Tempat nya nyaman ad room khusus smoking , ramah buat anak . semoga terus maju usahanya;positive
Suasana sangat nyaman;positive
Lokasi pinggir jalan, jadi selalu ramai untuk cuci mulut (ngopi) dan cuci mata (liat cewek);neutral
"As a local, i think this place is the finest coffeeshop in the town. Its quite difficult to find café that open for 24 hours which is same as their slogan ""no last call"", well it really is! For the food i think it's 5/5, with only for …";positive
Ok aja makanan nya tapi lama banget selesai buatnya sampai sejam pula;negative
niat bawa tv trs main ps, berisik teriak-teriak, dipikir tempat main kali bukan coffeeshop.. maap tpi itu ganggu bgt dan ga ngehargain customer lain. …;negative
Kopinya enak enak semua variant .. recoment;positive
Cocok buat yg mau WFC atau mau nugas karena tempat nya tenang dan bisa bikin fokus;positive
Bakmi nya enak dan minuman rayuan pulau kelapa nya rekomen bangett❤️❤️;positive
Tempat asik buat nongkrong, coffe nya lumayan, harga relatif murah. Rekomen bgt;positive
Kopi nya enak dan pas 👍 …;positive
Siang2 kesini pesan ice black (kalau ga salah ingat di menu namanya ini) dan browniesnya. Saat itu lumayan ramai pengunjung di bagian dalam tapi masih enak suasananya buat ngobrol sama teman. Ice blacknya enak, browniesnya agak kemanisan tapi ketutup;positive
Tempatnya nyaman dan enak untuk bekerja, good pokoknya👍 …;positive
Entah apa yang terjadi dengan TBK, waitersnya banyak tapi makanannya sungguh lama menunggu, niatnya mau makan karena laper ternyata harus nunggu sejam buat makanan datang, itupun dapat bonus melihat konsumen yang gak terlayani dengan baik, gak recomm;negative
Lupa apa nama minumannya tapi enakkk;positive
Tempat kencan pertama mita setekah 1 tahun nenikah🤣🤣 …;neutral
Makanan enak, minuman enak, kurang siap aja untuk pengunjung yang ramai, penginformasian untuk pesanan yang habis juga terlambat. Selebihnya oke;positive
Maaf saya beri nilai 1 karena saya mendapatkan pengalaman kurang mengenakkan dari juru parkir samudera koffie motor saya di geser ke tempat yg berbeda dan tanahnya amblas sehingga motor saya jatuh ke bagian samping saya tegur juru parkirnya …;negative
Vip room bagus, makanan enak walaupun pernah makan jam 12 malem lebih tp agak gimana gitu rasa opornya. suasana bagus walaupun harga agak pricey untuk segelas minuman yaa, tapi overall worth it buat nongkrong krna enak tempat+menunya. minus sofa vip ;positive
Tempat nyaman, layanan hebat, dan kopi nikmat! 💯☕ …;positive
Bad first experience;negative
"Tempatnya luas, parkiran luas
Makanan dan minumannya enak
Ramah dikantong 👍🏻
Bakminya sering kehabisan …";positive
🙏🙏🙏 …;neutral
"Tempatnya mudah dijangkau dan terdapat parkiran yg luas

Makanannya enak2 semua …";positive
"Pngalaman pertama kesini g enak. Kita dtg ktmpt ini sktr jm 10 mlm, stidakny klo mau close y diksih tau plnggn. Bru nongkrong 15 mnitn dh rasa2 diusir halus. Musik ""gelang sepatu gelang, gelang siramai2 ayo pulang ayolh pulang2 beramai …";negative
Ruangannya panas.  Kipas kurang.  Minumannya enak;negative
tempatnya cozy, kalau malam di weekdays cukup rame. tadi mesennya milkshake oreo, godzilla itu best seller mereka katanya, dan kentang nugget. pegawainya ramah 👍🏿 …;positive
"LAMA BGT NUNGGU MAKAN SMPE 1 JAM .
KAN KITA GA BANYAK WAKTU BUAT NUNGGU MAKAN KARNA ADA URUSAN . AKU SAMPE KELAHI SM PACARKU . NEXT GA KESINI LAGI";negative
Tempat yang nyaman buat nongki, recomended 👍 …;positive
Woww mantap..;positive
Makanannya enak enak, kopinya juga 😗😗😗.  Pelayanannya juga baik dan ramah. Suasananya nyaman banget, asik untuk kumpul bareng keluarga dan teman ☺☺☺☺ …;positive
Semoga kedepannya live musicnya lebih intens untuk ditampilkan.,;neutral
Makanan enak, layanan bagus, suasana nyaman;positive
"ramyun nya best😍😍😍😍
kopi susunyaa murah dan enakkkk …";positive
"Pelayanannya bagus harganya oke minuman dan makanannya juga enak
Tp untuk suasanya agak kurang karena di dalam sedikit gelap dan kelihatan kurang bersih";positive
Lumayan...;neutral
pelayanan nya kurang ramah;negative
Caramelnya mantab👍👍 …;positive
Suasana nyaman, bnyk pilihan minuman, parkir luas;positive
Makanan nya enak;positive
saya masih muda;neutral
Makanan dan minumannya oke, tempat bagus, tp tukang parkirnya nyebelin dan ga ramah,;positive
Good service;positive
Desain interior dan exteriornya bagus. Enak buat nongkrong. Sayang musim pandemi;positive
Bagus;positive
Cocok jadi tmpat meeting;neutral
Keren tempatnya;positive
Alangkah lbih baik lagi kalau yg duduk di dpan di sediakan kipas angin biar tidak kepanasan.. Untuk menu smuanya enak2 cuma kalau bsa gelasnya agak besaran dgn hrga segitu biar lbih wortit;neutral
Tempatnya bagus, makan dan minumnya enak, ramah;positive
Saya suka dengan affogatonya.;positive
Enak makanannya dan nyaman suasananya. Namun agar diperbaiki tuk kecepatan penyajian makanan, yg menurut kami agak lambat. Namun secara keseluruhan bagus dan baik. Rekomended tuk nongrong dan bawa kluarga kecil;neutral
Bagus pelayanan nya;positive
tempat dan makanan nya enak dan pw , baristanya juga ramah, rekomen buat nugas ac nya dingin juga tempat duduknya banyak;positive
Lokasi dan tempat parkir luas;positive
Tempat dan sajian menunya enak;positive
Mantap dan terjangkau;positive
Tempatnya bagus...bisa buat ngopi santai;positive
"paling best nagetsolor lada hitam & kospace 😋🤙🏻
terjangkau bet bagi kaum mahasiswa, anjay slebew …";positive
Memuaskan;positive
Kopinya enak;positive
Wihhhh asli enak banget smua menu nya tempatnya juga asik sih buat nyantai;positive
Magis;positive
Kopinya enak, which is mungkin ruangan tanpa rokok dan servicenya bisa ditingkatkan lagi ya, thanks;positive
Rekomended buat nongkrong dan nobar;positive
Nyuci mobil di sini ada kuning dikit aja di minta lebih 20rbu jdi 70rbu mobil kecil. Owner tolong karyawannya di tindak klo gk mau kehilangan pelanggan.;negative
para barista nya ramah sekali dan ganteng 😂🤣 …;positive
Pas untuk muda mudi bersantai disini sambil menikmati kopi. Bagi pencinta kopi disini juga tersedia berbagai aneka pilihan kopi tentunya;positive
"Tempatnya bagus banget, recommended, pelayanan nya ramah, minumannya juga enak.
memaklumi aja sih antriannya karena saya lihat banyak banget pengunjung nya. Cocok buat rame rame..";positive
Makanan enak, layanan bagus, suasana nyaman;positive
Tempat yang cocok untuk mendapatkan inspirasi ketika di rumah lagi mumet 😁 …;positive
Kecewa karena jauh 80km mau coba 2 menu dinsum nya ga dikasih dg alasan dibatasi😑 Kalo mau coba kan wajar, bukan borong …;negative
Bakmi nya best;positive
Secara keseluruhan enak tapi ada sesuatu yg kurang aja😊😊 …;positive
Gak rekomendasi makan di sini terlalu lama  banget masaknya nunggu makanan hampir 2 jam posisi tempat gak rame 👎 …;negative
Makanan+minuman cukup memuaskan, sarannya untuk pihak meinweilt untuk manajemen pesanan dapat lebih optimal karena jika dalam keadaan pengunjung ramai, yang saya rasakan cukup lama menunggu pesanan nya, sukses terus kedepannya 👍 …;positive
Fore palangka raya mantaps, coffee nya mantulll🥰🥰🥰🥰 …;positive
"Tempat nyaman untuk keluarga, luas, adem dan makanan lengkap
Pelayanan ramah & cepat
Appreciate 👏🏻 …";positive
Still nice place to chill and hangout with good coffee. *If you want strong feel coffee, just request it to the barista.;positive
Top nie, cafe dengan suasana nyaman. Tapiii segala kopi disini ada dan mulai biji kopi sampai di sajikan di gelas mereka menyediakan. Sekalian jualan alat dan bahan untuk cafe cafe di palangkaraya. Parkir luas dan nyaman untuk diskusi. …;positive
harga suka-suka oke lah kalau kualitas bagus;neutral
Zamannya pas lagi rame2 nya WFH, selalu dh kesini larinya 😆 banyak stop kontak bertebaran di sebelah tempat duduk, mau pilih outdoor atau indoor🧘🏻‍♀️ …;positive
Tempatnya enak sesuai sama nama nya santai hihi , barista nya juga ramah bgt 🫰🏻 …;positive
Nice hang out place in town;positive
Suasananya enak ada live musiknya juga..kopinya standar kayak kopi pada umumnya, gorengan nya enak tp kebanyakan minyaknya apa ga ditirisin dulu itu? , tapi kebersihan masih kurang, kek kita baru datang mejanya masih kotor dan dekat situ tu …;negative
Coffee shop baru dengan nuansa yang aesthetic banget buat anak-anak muda di Pky;positive
