pool_idx;ulasan;label
1943;"Terfavorit tetep kopi eskobar dan kopi maju makmur, tapi capucinonya juga mantap ternyata 🥰
Makanan2nya juga enak, walo kalo lagi rame pengunjung agak lama nunggu makanan …";positive
943;Favv bgt butterscotch🫠 pelayanannya ramah⭐️⭐️⭐️⭐️⭐️ …;positive
634;"Tempat nongkrong yang asyik, simple, startegis ditengah kota.
Menu best seller nya es kopi susu sekut.
Untuk range harganya dimulai dari 15 ribuan. Sangat nyaman kan di dompet apalagi …";positive
1474;"Pagi-pagi pengen ngopi santai, bingung mau kemana. Ini tempat yang pas gais. Dapat promo juga kalau datang pagi.
Ada makanan berat juga, ga hanya cemilan. …";positive
1914;"1. Dimsum kukus enak, berdaging.
2. Bluberry cheesecakenya, juara, selai blubberynya gak terlalu asam pas, meskipun cakenya agak keras karna di dalam mesin pendingin, tapi tetap enak , jadi …";neutral
557;"Semua okeeeeeee.
Pas dtg kesini pertama kali nyoba2 sihhh.
Alhamdulillah ga menyesal. …";positive
1202;Dimsum mentai nya endullll dagingnya berasa ...;positive
548;Untuk makanan menurutku segar.. kalau kopinya oke..;positive
824;Tempat minum dan ngemil yang asik. Suasana/ambience ruangannya keren, ga panas, ada mushola juga, toilet bersih. Seduhan kopi manualnya perlu lebih konsisten, saya pesen 2 manual brew, yang satu pas taste-nya, tp yang satu agak strong, tp …;positive
1830;"Saya kasih 4 stars dl ya......bcoz....
Kalo untuk pelayanan dan kecepatan penyajian ok banget👍 but..........
Kita pesen mix plater isinya ayam, kentang dan sosis... tp kentangnya digigit …";neutral
2323;Untuk minuman kopi susunya mantab lah, Pelayanan cukup baik namun kurang ramah;neutral
1133;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga.";negative
1577;"Makanannya lumayan, tapi terlalu manis.
Pelayanannya lama dan kacau, sepertinya perlu ditingkatkan.";negative
1558;"Kalian harus banget sih nongkrong cantik disini. Harga standar cafe kotaan lah. Kue-kuenya juara, pilihannya banyak, minumannya enak, penyajiannya cantik estetik pokoknya
Pilihan kue mulai dari customized kue ultah dkk, short cake (coklat, kopi, keju, red velvet ada semua), cookies juga ada
Pelayanannya ramah. Anjing ownernya gumush banget, boleh dielus-elus (tapi biasakan izin dulu sebelum elus-elus/ambil foto peliharaan orang lain ya)
Yang dari luar kota juga mesti banget mampir kesini ya";positive
2191;"Kalo tengah malam butuh kopi dan workspace cocok, buka sampai subuh soalnya😂
Minuman dan makanan beratnya selalu ready, jarang sampai kehabisan …";positive
1282;"Minumannya terbilang enak2.
Antrinya aja yg agak padat, kebetulan saat itu siang menjelang sore.
Kalo tidak teliti, antrian kita bisa keserobot seperti 2x pengalaman teman yg …";neutral
669;"nasi tongkol suwir enak, ayam teriyaki enak,
kalau menu ayam yg lain kadang suka keras gitu :(
tahu nya juga kadang keras :( …";neutral
1932;Belum sempat nyobain makanan di cafe ini krna jam 12 kesini makanan ny belum matang dan hrs nunggu 1 jam lagi :) …;negative
2585;Aman;positive
1829;"Saya kasih 4 stars dl ya......bcoz....
Kalo untuk pelayanan dan kecepatan penyajian ok banget👍 but..........
Kita pesen mix plater isinya ayam, kentang dan sosis... tp kentangnya digigit …";neutral
217;"Tempatnya cozy,minumannya juga oke..sering penuh,jadi sedih banget kalo gak kebagian tempat ☹️
Kata temen2 bukanya 24 jam,tp belum sempet nanya sma pegawainya bener atau gak..kalo bener sih mantap lah,jadi bisa order kopi pas lagi lembur 👍";neutral
175;Cafe yang gak pernah sepi pengunjung dari malam senin sampe malem senin lagi. Selalu full, kalo telat udah ga dapet tempat duduk. Enak buat ngumpul sma teman ataupun keluarga. Menunyang disuguhkan juga enak, kecuali snack onion ring nya ya …;positive
2295;SAYA SUKA TELUR ASIN SEDAPPPPP😋😋😋 …;positive
668;"nasi tongkol suwir enak, ayam teriyaki enak,
kalau menu ayam yg lain kadang suka keras gitu :(
tahu nya juga kadang keras :( …";neutral
867;Butterscotch Sea salt latte nya memang juara ⭐️⭐️⭐️⭐️⭐️;positive
2452;Aku pernah dikasih makanan sudahbtidak layak makan, padahal dine in, karena nunggu sampai 2 jam, jadi terpaksa take away rupanya sampai rumah ayamnya sudah tidak segar+ tidak masak;negative
791;Untuk kupinya agak lumayan terasa buat strongnya. Tempat lumayan banyak kursinya. Di dalam kurang dingin malah agak cenderung hangat. Pesan cemilan agak lama selesai nya. Sukses selalu..;positive
811;"Tempatnya nyaman dan bersih
Makannya juga enak
Bagus untuk tempat nongkrong";positive
2602;"Nyari2 kopi pagi2 direkom ipar kesini.
Take away sdh ready
Good coffee";positive
704;"Siapa yang nyingkat jadi Kopi ABS segala!!!??
Susah nyari di MAP Sesat!!!";negative
2402;"Tempatnya bagus, pelayanan harusnya krna ada byk dan ad petugasny, bisa diperdayakan untuk pengantaran ke meja atas / keluar. karena jauh dari tmpt duduk.
pintu toilet harusny di kaca 1x lg atau digunakan penutup sliding agar tidak bau …";negative
2119;"Masukan terkait ruangan:

Kopi dan makanannya cukup enak. Saya senang melihat pegawainya sangat rajin dan …";positive
1501;Tempatnya bagus dan nyaman makanan enak² tapi ga sesuai dengan dompet mahasiswa;neutral
137;Tempatnya oke;positive
485;Tempatnya cozy, di dalam ada sofa empuk + ac, diluar ada live music tinggal pilih.. untuk menu td pesen NW mie - cireng bumbu rujak - leci float - kiwi mojito - mentai dimsum habis di 132ribu.. untuk makanan minuman rasanya standar aja;neutral
921;Dapat paket discount drink+pastry;positive
48;"Sangat Recommend untuk bersantai, pelayanan memuaskan 🔥🔥

Harga mahasiswa ☑️ …";positive
1109;"Konsepnya aku sukaa cmn utk belakangnya msh keliatan ""berantakan"" but no need worry, kopinyaa enak😍. aku pesen Tiramisu Latte, seneng bgt ternyata dikasi eskrim jdi more creamyy jdinya dan aku salutee kopinyaa ga kemanisan jdi ditambah …";positive
2514;Cumi Rice bowl nya enak..es krim kacang nya jg cocok d aku..ga terlalu manis jd bs makan bnyk..;positive
277;Sebenar nya saya belum pernah kesini tapi karena saya pecinta kopi jadi saya kasih bintang lima;positive
2661;"Suasananya nyaman, konsepnya kaya cafe cafe di ubud
harga sangat bersahabat di kantong mahasiswa";positive
856;"Biasa nya aku pesen isi nya full
Karna emang sering pesen fore
Ini isi nya dikit …";negative
617;suka sekali;positive
768;Ahhh suka sekali.. 😍 …;positive
1214;tempatnya bagus, rame makanan dan minumannya juga enak cuman pelayanannya perlu ditingkatkan lagi;neutral
1072;Tempatnya asik buat nongkrong, sore lebih enak sih buat ngopi senja, terus pilih duduknya yg di luar aja biar langsung kena angin sore 👍🏼 …;positive
299;Seperti coffeshop pada umumnya;neutral
1039;Lumayan lama mana di suruh cepat terus sama customer :v;negative
1735;"Tempatnya bagus banget, recommended, pelayanan nya ramah, minumannya juga enak.
memaklumi aja sih antriannya karena saya lihat banyak banget pengunjung nya. Cocok buat rame rame..";positive
1741;"Makanan beratnya gak ada.
Mungkin lebih hidup jika ada live musicnya";negative
1556;"Kopinya enak, ambiencenya oke banget, decornya selalu cantik. Rasa kuenya standar, tapi ini kan sesuai selera ya, kalo menurut teman enak.
Sangat disayangkan servicenya bikin experience ga nyaman ya, kasirnya jutek, nanya detail minuman dijawabnya lihat saja di layar di dinding. Menu yang saya lihat di standing acrylic di meja kasir, sedangkan ternyata ada menu detail di gadget dan layar di dinding. Kan bisa dijelaskan baik-baik, atau dari awal diarahkan untuk lihat menu di layar kalau memang gamau menjelaskan.";negative
2748;Bakmi nya uenak polll 👌👌 …;positive
414;"Hmmm lumayan enak minumannya. Pelayanan lumayan agak lama dikit.

Agak gerah walau udah di AC. Banyak kok colokannya …";neutral
1593;"makanannya manteb, minumannya juga manteb
sering kesini buat deliv aj/pesen dr grab/gofood kalo siang summer vibes banget deh hehe";positive
2370;"1. Buka Pagi sd Malam
2. Ada outdoor dan indoor
3. Sangat bersih tersedia tempat cuci tangan, dsb
4. Indoor sangat sejuk dan harum
5. Plihan menu banyak mulai dari kopi,non-kopi,boba, dan macam"" teh.
6. Karyawan rapi bersih dan ramah";positive
100;"Car wash ampas..
minta tambahan di luar nota krn bawahnya kotor katanya dan
hasilnya pun ga bersih juga... cukup skali lah ksini";negative
1289;"Maaf, biasa banar..
Mie gorengnya banyah aka. lembek.. Minta tambah telor dadar di mie gorengnya ga bisa.. …";negative
1530;Sedang lambatnya;negative
2339;Anak palangka wajib kesini si;positive
2014;"Pertama kali ngupi disini
Tempatnya lumayan nyaman
Tp ga sempet foto2 sih🤣 …";positive
211;"Makanan sama minuman masih banyak, main dibuang buang aja, baru ditinggal bentar ke toilet, payah, lain kali bikin papan tulisannya ""JANGAN DIBUANG MASIH DIMAKAN";negative
574;kopiver 2.0 cocok buat yang butuh caffeine supaya ga ngantuk🤩 …;positive
2595;"Rasa Kopi nya Enak
Pelayanan Oke
Harga bersahabat";positive
1323;Harga bersahabat;positive
2419;"Pelayanan ramah ✅
Kopinya nikmat ✅
Harga bersahabat ✅ …";positive
1318;Minumannya banyak barusan dan harga relatif lah..;neutral
1439;Pelayanannya cepat;positive
637;"Sedap sedap nikmat. Makanan atau minuman yang dipesan cepet banget datengnya.
Oiya... Kalau datang mending sorean aja yaa. Kebetulan saya datangnya pas siang, jadi rasanya kaya lagi di saunaaaa~~~~~";positive
2563;"Tempat nyaman, bersih, cozy dan estetik
Menu sama dgn neverland 1
Pertahankan kualitas ya";positive
1889;"Tempat : ⭐⭐⭐⭐⭐
Tempat sangat bersih nyaman dan posisi duduk bisa santai, tempat nya juga bagus sip …";positive
64;tempat fav🤍 …;positive
508;Pelayanan nya lama banget terus mbaknya  judes, masa makanannya dilempar;negative
543;Tempat nobar katanya;neutral
106;"hati2 yg mau cuci mobil di sini❗️
lebih berhati2 kalau menaruh barang berharga/uang didalam mobil❗️
baru sore ini cuci mobil disini salah satu pegawainya berani ambil uang di dalam …";negative
254;"Es Kopi Susu Rum paling juara 🔥
Update feb 2022, harga ada sedikit kenaikan namun rasa malah berkurang …";neutral
332;Pas buat nongkrong pagi, sore atau malam hari..;positive
857;"Biasa nya aku pesen isi nya full
Karna emang sering pesen fore
Ini isi nya dikit …";negative
1267;Kasir nya cakep banget;positive
1883;"Ada rambut di makanannya
Terus mba kasir dan mas kasirnya ketawa2 krna teman saya duduk di kursi dan kursinya patah, kita tau kita salah tapi ga seharusnya diketawain hehe ga sopan
Trims";negative
2500;"Pelayanannya bisa di tingkatkan lagi. Pesen makanan 3 datang nya gk bersamaan. Pesan makan dari jam 19.33 makanan terakhir diantarnya jam 20.35 😭😭😭
Waiternya jga pas nganter bingung sendirian nyari costumer yg pesan yg mna jadinya nanya ke meja satu2 😭😭😭 …";negative
1941;"I  and my wife order fish and chips, already waiting almost 2 hour.. then the waiter come and ask ""can i see the bill""
They forgot to made our order, bad services.. not recomended";negative
2348;Pas rasanya;positive
935;Pelayanannya sangat bagus;positive
1886;"Habis renov tempat jadi lebih bersih, nyaman & kecee.
Buat nugas & paea introvert oke punya, atmospherenya mendukung. …";positive
1366;Nyoba take a way aja, infonya 24 jam.;neutral
2234;Oke saya sukaaaa;positive
492;Ada ruangan AC dan Non AC;neutral
725;Jual produk skincare, bodycare, haircare by JAFRA n Hairrepair.id;neutral
2482;Tempatnya nyaman.. tergolong sepi dikala weekdays, cocok untuk yg tidak suka keramaian. …;positive
200;Makanan enak harga sedang sekelas cafe, layanan biasa, suasana terlalu ramai jadi tempat kadang penuh, kalau mau pesan makan pas lagi penuh kadang ragu karena meja yg pendek² dimuka itu tidak memadai untuk menaruh piring gede;neutral
2268;"Pengalaman yg tidak menyenangkan.
Pesan butterscotch dan og latte.
Pada menu tertera coffee dan non coffee …";negative
2645;Salah referensi tempat ngopi di kota Palangkaraya;negative
155;Tempat minum, berkumpul, ngobrol, & bertemu.;neutral
2621;Tempatnya oke punya!;positive
212;"Sepertinya ini cafe tempat nongkrongnya generasi milenial. Pengunjungnya dominasi anak muda.
Lumayan rame. Kalau ga salah ini tempat eks Bebek Kalijo.";neutral
223;"Sangat pas untuk Nongki, tapi terlalu ramai sehingga untuk privasi agak kurang.
Kalau mau privasi room harus jd membee dulu.";neutral
280;Tempat bersih & selalu ramai dikunjungi kawula muda;positive
639;"tempat paling pw sepalangkaan wkwkw
tukang parkirnya ramah";positive
654;"Suka bgt sama tempatnya, menu juga oke semua. ☕️
Spot foto juga bagus. Cuman kalau siang panas bgt👌🏻 …";positive
551;Makanan, minuman, suasanya, mayoritas nyaman dan enak2 semua, apalgi kalo duduk di dalam,di sofa, PW banget, tempat ngopi yang suasanya PW, buat pribadi lebih suka tempat ngopi yang begini, dari pada duduk di semen2 krikil , udah semennya …;positive
1067;"INI BARU KOPISOP 😭
pelayanan ramah bintang 5. makanan enak, tempat dingin, ada wifi (buat kerja), ADA BASIC TEA kwkwkwkwkwk. terrrrrrrbaaaaiiiikkkkkkkkkk …";positive
504;Agak aneh...harganya ada pembulatan .. baru ngeh setelah pesanan ke 2 caramel ....;negative
2405;"saya beli risol 1 porsi pelit bgt
masa 1 kotak 1 porsi, isinya 1 biji.
ga worth it.";negative
1693;"makanan nya sih enak enak ya, pelayanannya cukup lama pdhl cuma saya pelanggan yg beli waktu itu.
but sorry to say didalem ko bau pup nya nyengat bgt yah, rencana saya mau ngadem …";negative
1112;"Wah ini rekomen banget sih 👌👌
Tempatnya cozy, ga rame kendaraan juga, plus pelayanan dan makanannya murah2 tapi rasanya enak semua ❤. …";positive
385;Tempat yg teduh;positive
1815;Sangat menyenangkan;positive
1311;sangat menyenangkan;positive
71;Tempat nyaman... Lokasi tengah kota;positive
101;"Car wash ampas..
minta tambahan di luar nota krn bawahnya kotor katanya dan
hasilnya pun ga bersih juga... cukup skali lah ksini";negative
395;Gpp;neutral
1326;Untuk tempatnya bagus;positive
1766;"tempat oke, minuman oke.
owner suru ganti reviewnya";positive
731;Coffee Roastery,tempat nongkrong recommended dari para teenager;positive
1586;Pertama kali ke sini karna pas lwt ngeliat ada tmpt yg view nya bagus dan kayaknya enak. Tp sangat mengecewakan. Pertama pesen fine aja;negative
2227;Bisa sekalian cuci kendaraan sambil ngopi;positive
1971;klo balik dari banjar suka ngopi disini, best coffee in town! Full recomended!!! Kopi maupun makanannya jg worth it hihi. Oiya tp minus di pelayanan aja sih, pernah kelupaan ngambil kembalian jdi besok paginya aku ambil kesana dan pas …;positive
1522;Green tea nya enak;positive
864;"Take a way 1 gelas kopi lewat aplikasi nunggu hampir 20 menit
Padahal waktu itu gak banyak orang
Ayo mba2 yang cantik yg krja dsna jgn byk ngobrol/ghibah..";negative
889;Minuman dan kue enak, tempat kumpul anak muda, WC hanya satu dan pas lagi tdk ada air. Mudahan yg akan datang lebih baik;neutral
